name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
SignedMoveProxy,0xdFA8Fa843BaBaCe5C4f293eae5A60dE750EDb7d9,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.0,6
Verifier,0x1E2865ee982a15529AF73cb7394d7bDAD4C4e105,sha3;sha2-256;modexp;ecadd;ecmul;ecpairing;,Commitment(Single Value),sha2-256,0 Ether,0.7.6,1
Verifier,0x1E2865ee982a15529AF73cb7394d7bDAD4C4e105,sha3;sha2-256;modexp;ecadd;ecmul;ecpairing;,Zero knowledge Proof,Plonk,0 Ether,0.7.6,1
PortionExchangeV2,0xAea3f88B62E87F7Bf5E99972A22439071b3a0135,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.4,1
ClusterRegistry,0x1adb56a7287e6cbf87b14a56209ba15ccc5c91e8,sha3;,Message Digest,sha3,0 Ether,0.5.17,1
UniswapV3Pool,0xd017617f6f0fd22796e137a8240cc38f52a147b2,sha3;,Message Digest,sha3,0 Ether,0.7.6,0
BoneToken,0x9813037ee2218799597d83D4a5B6F3b6778218d9,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,13720
xLeashBoneMerkleDistributor,0x9495A029Ce34983C0bF0c45EE8214021E95dA26A,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,2
YapeRouter,0xcc00b641305c639d9f2b3c34067c69679ee1dbef,sha3;,Message Digest,sha3,0 Ether,0.8.6,3
DefiRound,0xc803737D3E12CC4034Dde0B2457684322100Ac38,sha3;,Commitment(Vector),sha3,0 Ether,0.6.11,493
EdenToken,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.6,2
YAT,0x7d256d82b32d8003d1ca1a1526ed211e6e0da9e2,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.6,32
CryptoZunks,0x031920cc2D9F5c10B444FD44009cd64F829E7be2,sha3;,Message Digest,sha3,55.38 Ether,0.8.4,632
CryptoZunks,0x031920cc2D9F5c10B444FD44009cd64F829E7be2,sha3;,Random Number Generator,sha3,55.38 Ether,0.8.4,632
AccessControlledOffchainAggregator,0x647323612C9daE101a69791710f4FEfD5Ef4a015,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.7.6,27
BTRST,0x799ebfABE77a6E34311eeEe9825190B9ECe32824,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.5.16,1
zigMerkleDistributor,0x2697B304724f277F4AD498a2792D694917bc640F,sha3;,Commitment(Vector),sha3,0 Ether,0.6.12,1
BatchFillNativeOrdersFeature,0x8804de48debe3e6a565b5bce1a6889103ca12314,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
